1 1.04e-05 0 1 0
2 1.08e-05 1 2 0
3 4.18e-05 2 5 0
4 7.1e-05 6 11 4
5 0.0002671 24 35 23
6 0.0009614 100 100 99
7 0.0038856 325 233 324
8 0.0105989 1051 631 1050
9 0.0552644 5321 2802 5320
10 0.180636 17577 7033 17576
11 0.809554 79093 25452 79092
12 3.5446 330621 94452 330620
13 16.3346 1466816 377942 1466815
14 86.1361 7291518 1730204 7291517
